Ort;Name;Stadt/Landkreis;Bundesland
LAN;LANdau;Landkreis Dingolfing-Landau;Bayern
LAU;LAUf;Landkreis Nürnberger Land;Bayern
LB;LudwigsBurg;Landkreis Ludwigsburg;Baden-Württemberg
LBS;LoBenStein;Saale-Orla-Kreis;Thüringen
LBZ;LüBZ;Landkreis Ludwigslust-Parchim;Mecklenburg-Vorpommern
LC;LuCkau;Landkreis Dahme-Spreewald;Brandenburg
LD;LanDau;Stadt Landau in der Pfalz;Rheinland-Pfalz
LDK;Lahn-Dill-Kreis;Lahn-Dill-Kreis ohne die Stadt Wetzlar;Hessen
LDS;Landkreis Dahme-Spreewald;Landkreis Dahme-Spreewald;Brandenburg
LEO;LEOnberg;Landkreis Böblingen;Baden-Württemberg
LER;LEeR;Landkreis Leer;Niedersachsen
LEV;LEVerkusen;Stadt Leverkusen;Nordrhein-Westfalen
LF;LauFen;Landkreis Berchtesgadener Land, Landkreis Altötting (C 1–999, E 1–500, I, J, M, O, Q und V 1–999), Landkreis Traunstein (B, F und G 1–999, DH 1–100, FZ, GH und KQ 1–999, LU 1–200, RW 1–999, TK 1–100, TS 1–999, VW 200–400 sowie WW, XX und ZZ 1–999);Bayern
LG;LüneburG;Landkreis Lüneburg;Niedersachsen
LH;LüdingHausen;Kreis Coesfeld, Kreis Unna;Nordrhein-Westfalen
LI;LIndau;Landkreis Lindau (Bodensee);Bayern
LIB;LIeBenwerda;Landkreis Elbe-Elster;Brandenburg
LIF;LIchtenFels;Landkreis Lichtenfels;Bayern
LIP;LIPpe;Kreis Lippe;Nordrhein-Westfalen
LL;Landsberg am Lech;Landkreis Landsberg am Lech;Bayern
LM;LiMburg;Landkreis Limburg-Weilburg;Hessen
LN;LübbeN;Landkreis Dahme-Spreewald;Brandenburg
LÖ;LÖrrach;Landkreis Lörrach;Baden-Württemberg
LÖB;LÖBau;Landkreis Görlitz;Sachsen
LOS;Landkreis Oder-Spre;Landkreis Oder-Spree;Brandenburg
LP;LiPpstadt;Kreis Soest;Nordrhein-Westfalen
LR;LahR;Ortenaukreis;Baden-Württemberg
LRO;Landkreis ROstock;Landkreis Rostock;Mecklenburg-Vorpommern
